State,Month,Year,Severity 1,Severity 2,Severity 3,Severity 4,Total
AL,8,2022,36,77,15,0,128
AL,9,2022,4,43,3,6,56
AR,11,2022,1,55,0,6,62
AZ,8,2022,11,198,7,7,223
AZ,9,2022,1,136,3,7,147
AZ,11,2022,5,159,6,11,181
AZ,12,2022,3,236,3,16,258
CA,1,2023,1,2080,48,85,2214
CA,8,2022,136,1834,82,70,2122
CA,9,2022,35,1740,45,94,1914
CA,10,2022,12,1062,11,39,1124
CA,11,2022,28,1607,39,156,1830
CA,12,2022,34,2197,64,212,2507
CO,8,2022,9,98,5,4,116
CO,9,2022,2,88,1,10,101
CO,12,2022,1,110,1,28,140
CT,8,2022,4,106,4,9,123
CT,11,2022,1,81,1,14,97
CT,12,2022,2,77,2,19,100
DC,8,2022,1,21,0,0,22
DE,11,2022,1,9,0,1,11
FL,8,2022,71,872,44,25,1012
FL,9,2022,17,899,14,28,958
FL,10,2022,3,640,8,14,665
FL,11,2022,5,917,13,31,966
FL,12,2022,5,1225,11,65,1306
GA,8,2022,28,131,14,1,174
GA,9,2022,5,123,3,2,133
GA,10,2022,2,103,0,6,111
GA,11,2022,5,108,2,7,122
GA,12,2022,3,267,4,43,317
IA,8,2022,2,13,0,1,16
IL,8,2022,25,132,21,3,181
IL,9,2022,10,125,6,7,148
IL,11,2022,1,99,1,16,117
IN,8,2022,8,58,5,5,76
IN,9,2022,1,55,4,5,65
KS,11,2022,1,27,1,1,30
KY,8,2022,8,9,5,1,23
KY,9,2022,3,2,2,0,7
LA,8,2022,17,132,13,2,164
LA,9,2022,2,143,3,6,154
LA,12,2022,1,181,3,16,201
MA,8,2022,5,18,11,0,34
MA,9,2022,1,10,2,1,14
MD,8,2022,3,160,4,8,175
MD,9,2022,3,119,3,4,129
MD,10,2022,1,92,1,12,106
MD,11,2022,1,130,4,14,149
MD,12,2022,2,211,6,31,250
MI,8,2022,14,140,11,7,172
MI,9,2022,2,129,2,10,143
MN,8,2022,4,128,5,8,145
MN,9,2022,4,144,1,10,159
MN,12,2022,5,388,14,68,475
MO,8,2022,7,70,8,6,91
MO,9,2022,1,78,4,4,87
MO,10,2022,1,55,0,8,64
MO,11,2022,2,84,0,11,97
MS,9,2022,1,15,0,0,16
MT,11,2022,2,114,2,23,141
MT,12,2022,2,150,4,29,185
NC,8,2022,38,322,27,11,398
NC,9,2022,16,284,5,20,325
NC,10,2022,2,166,0,8,176
NC,11,2022,8,263,2,19,292
NC,12,2022,3,367,6,32,408
NE,8,2022,1,9,0,0,10
NJ,8,2022,15,240,7,7,269
NJ,9,2022,8,214,4,11,237
NJ,10,2022,2,183,4,16,205
