State,Hour,Day,Month,Year,Wind_Speed(km/h),Temperature(C),Precipitation(mm),Severity,Predicted_Hour
VA,23,3,12,2022,8.04,7.22,0.0,2,19
CA,13,20,8,2022,20.92,20.0,0.0,2,14
TX,13,12,10,2022,11.26,32.78,0.0,2,14
KS,18,10,8,2022,11.26,30.0,0.0,2,17
LA,20,10,11,2022,8.04,17.22,0.0,2,18
LA,21,18,8,2022,0.0,26.67,0.0,2,19
CA,16,30,12,2022,11.26,15.56,0.0,2,13
NM,12,21,9,2022,14.48,30.0,0.0,2,15
NY,15,23,9,2022,22.53,12.78,0.0,2,15
CA,17,9,9,2022,14.48,27.22,0.0,2,17
CA,12,5,1,2023,32.18,15.56,0.0,2,13
FL,14,3,11,2022,20.92,29.44,0.0,2,15
LA,20,8,9,2022,0.0,25.56,0.0,2,18
NC,16,9,8,2022,16.09,33.33,0.0,2,15
CT,13,28,12,2022,11.26,6.67,0.0,2,13
VA,7,2,8,2022,11.26,24.44,0.0,2,8
VA,20,3,11,2022,0.0,12.22,0.0,2,16
MN,20,15,12,2022,0.0,0.56,0.25,2,20
AZ,14,7,12,2022,16.09,16.67,0.0,2,15
PA,7,14,10,2022,4.83,0.0,0.0,2,7
SC,16,11,11,2022,16.09,18.89,0.0,2,15
MI,1,23,1,2023,9.65,-0.56,0.0,2,2
SC,18,2,8,2022,11.26,28.89,0.0,3,17
SC,17,17,8,2022,0.0,26.11,0.0,2,16
TX,7,22,8,2022,8.04,24.44,0.25,2,8
TN,21,16,11,2022,20.92,3.33,0.0,2,17
CA,9,3,11,2022,0.0,8.33,0.0,2,7
IL,7,8,9,2022,0.0,16.67,0.0,3,7
CA,18,2,12,2022,4.83,16.11,0.0,2,17
FL,20,21,11,2022,9.65,14.44,0.0,2,17
CA,7,12,10,2022,4.83,21.67,0.0,2,9
CA,18,2,1,2023,14.48,7.22,0.51,2,16
CA,16,26,9,2022,12.87,38.33,0.0,2,16
AZ,15,19,1,2023,9.65,14.44,0.0,2,15
CA,14,10,10,2022,0.0,12.22,0.0,2,5
NC,8,4,9,2022,0.0,21.67,0.0,2,9
VA,21,10,9,2022,0.0,22.78,0.0,2,20
MN,14,26,1,2023,11.26,-10.0,0.0,2,14
FL,9,1,8,2022,9.65,30.56,0.0,3,14
LA,13,10,12,2022,8.04,24.44,0.0,2,13
CA,15,15,10,2022,11.26,20.56,0.0,2,14
LA,7,24,1,2023,22.53,8.33,0.0,2,8
VA,9,1,10,2022,8.04,18.33,0.0,2,14
SC,18,20,12,2022,8.04,2.78,0.0,2,16
CA,16,9,12,2022,9.65,15.56,0.0,2,15
DC,17,17,12,2022,12.87,7.78,0.0,2,16
FL,18,17,9,2022,14.48,27.78,0.0,2,18
VA,0,20,1,2023,0.0,7.22,0.25,2,3
CA,15,7,9,2022,20.92,33.33,0.0,2,15
CA,6,15,12,2022,0.0,6.11,0.2104570154231863,2,18
CA,13,22,12,2022,9.65,18.89,0.2104570154231863,2,14
MN,15,12,10,2022,24.14,9.44,0.0,2,15
VA,16,15,11,2022,20.92,3.89,3.81,2,16
MT,11,2,12,2022,8.04,-6.67,0.0,2,10
PA,15,19,1,2023,14.48,4.44,0.0,2,15
CA,18,20,11,2022,4.83,8.33,0.0,2,18
CA,2,29,9,2022,0.0,23.89,0.2104570154231863,2,6
MI,11,5,8,2022,8.04,27.22,0.0,2,13
OR,14,12,10,2022,9.65,23.89,0.0,2,15
SC,20,16,11,2022,19.31,8.33,0.0,2,18
AZ,4,12,10,2022,0.0,12.22,0.0,2,6
PA,17,10,11,2022,12.87,15.0,0.0,2,17
IL,11,17,11,2022,27.35,-1.11,0.0,2,14
CA,0,10,10,2022,8.04,20.0,0.0,2,14
MT,11,9,11,2022,8.04,-12.22,0.0,2,12
CA,8,21,9,2022,0.0,21.11,0.0,2,15
DC,19,18,12,2022,20.92,1.67,0.0,2,17
CA,7,8,8,2022,0.0,25.56,0.0,2,7
OH,3,27,12,2022,0.0,-5.0,0.0,2,5
CA,14,6,10,2022,14.48,29.44,0.0,2,14
AL,15,1,12,2022,4.83,11.11,0.0,2,11
MO,12,21,12,2022,20.92,0.0,0.0,2,11
WA,17,6,12,2022,11.26,5.0,0.0,2,15
FL,12,14,1,2023,24.14,12.78,0.0,2,14
CA,8,10,8,2022,4.83,22.22,0.0,2,8
SC,19,6,9,2022,4.83,28.89,0.0,2,12
SC,14,8,9,2022,20.92,27.78,0.0,3,14
FL,17,27,8,2022,14.48,27.22,0.0,2,16
OR,16,1,8,2022,24.14,36.11,0.0,2,16
OR,16,6,8,2022,19.31,34.44,0.0,2,16
CA,18,16,8,2022,9.65,38.33,0.0,2,15
CA,1,12,9,2022,16.09,27.22,0.0,2,6
NY,1,1,1,2023,9.65,11.67,0.0,2,7
TX,16,2,9,2022,9.65,31.11,0.0,2,15
MT,9,3,12,2022,8.04,-16.67,0.0,2,10
PA,1,5,12,2022,0.0,-3.33,0.0,2,4
CA,12,6,8,2022,12.87,28.89,0.2104570154231863,2,13
CA,8,14,1,2023,32.18,12.78,1.27,2,9
MN,6,20,12,2022,12.87,-17.78,0.0,2,11
MN,6,28,9,2022,8.04,3.33,0.0,2,7
MN,9,28,9,2022,8.04,5.56,0.0,2,9
NJ,13,24,1,2023,25.74,8.33,0.0,2,13
NC,17,30,1,2023,8.04,13.89,0.0,2,16
AL,13,25,8,2022,8.04,22.22,0.0,3,13
CA,17,7,10,2022,12.87,21.11,0.0,2,16
SC,11,22,12,2022,11.26,7.22,0.0,2,12
FL,7,24,9,2022,4.83,19.44,0.0,2,10
PA,21,13,10,2022,11.26,14.44,0.25,2,17
